codice,"sito associazione",telefono
451,http://www.bethaniahospitalservicesasmt.org,05018121010
455,http://www.ustorre.org/,049-8936629
456,http://www.ustorre.org/,335-269972
457,http://www.ustorre.org/,335-7687734
458,http://www.ustorre.org/,335-7486116
459,http://www.validealternative.com/,3733443526
465,http://www.momentosdealegria.org/,"315 3120434"
466,http://www.mondoimmigrati.com/,"	800 926 227"
468,http://www.mopl.it,3290508028
469,http://www.motusmundi.it/,"340 4859093"
470,http://www.motusmundi.it/,"049 8705657"
471,http://www.motusmundi.it/,"347 9379695"
479,http://www.felixefido.it,3346117620
480,http://www.felixefido.it,3384826400
483,http://www.marcellinovais.it,"055 970 286"
484,http://www.marcellinovais.it,"347 8243629"
491,http://www.mideando.it,"338 8227001"
498,http://www.ertgiovani.com,"059 2136011"
499,http://www.ertgiovani.com,"059 245332"
500,http://www.ertgiovani.com,01989060361
501,http://www.vivi-amovillabreda.blogspot.it/,3381446946
504,http://www.riminibeach.it,0549.941416
505,http://www.riminibeach.it,392.4448574
506,http://www.film.it,06979891006
507,http://www.flautomagico.it,"328 2751113"
508,http://www.flautomagico.it,"338 2104518"
509,http://www.flautomagico.it,"338 3383025"
510,http://www.flautomagico.it,"333 3459471"
511,http://www.fondazionebaccichetti.it,"049 8703938"
514,http://www.festadeipopoli.it,0498931533
516,http://www.riverfilmfestival.org/,"049 651333"
517,http://www.riverfilmfestival.org/,"049 8601426"
518,http://www.entes.it,0941.902026
519,http://www.entes.it,0941.913180
526,http://www.ferraraitalia.it,01924560384
527,http://www.zenskypadovafemminile.it,331.6100803
528,http://www.zoo-arcipd.it/,"049 656781"
529,http://www.zoo-arcipd.it/,346.9600168
530,http://www.zoo-arcipd.it/,049.2134756
531,http://www.ferraramusica.it/,"0532 202675"
532,http://www.ferraramusica.it/,"0532 206007"
533,http://www.ferraramusica.it/,"0532 202400"
534,http://www.ferraramusica.it/,"0532 241097"
535,http://www.ferraramusica.it/,01109860385
557,http://www.enars.it/,"342 5681819"
558,http://www.emiliaromagnateatro.com/,"059 2136011"
559,http://www.emiliaromagnateatro.com/,"059 2138252"
560,http://www.emiliaromagnateatro.com/,01989060361
562,http://www.emiliaromagnateatro.com,"059 2136011"
563,http://www.emiliaromagnateatro.com,"059 2138252"
564,http://www.emiliaromagnateatro.com,01989060361
565,http://www.comune.rimini.it,"0541 704000"
566,http://www.comune.rimini.it,"0541 704111"
568,http://www.emergencypadova.altervista.org/,3474657078
569,http://www.ausilioteca.org/,051-6597711
570,http://www.ausilioteca.org/,051-6597737
571,http://www.filodarianna.net,"051 6701240"
572,http://www.asphi.it/,02411471200
573,http://www.cefaonlus.it,051520285
574,http://www.cefaonlus.it,051520712
575,http://www.cefaonlus.it,01029970371
580,http://www.aiasbo.it/,"051 454 727"
581,http://www.aiasbo.it/,"051 450 729"
582,http://www.aiasbo.it/,"051 466 105"
583,http://www.aiasbo.it/,02376540379
584,http://www.aiasbo.it/,"051 454727"
585,http://www.aiasbo.it/,"051 450729"
586,http://www.aiasbo.it/,"051 466105"
587,http://www.astrofiliimolesi.it/,02636561207
588,http://www.astrofiliimolesi.it/,"334 3156302"
589,http://www.ilmartinpescatore.org,04013640372
590,http://www.emi.it,"051 326027"
591,http://www.emi.it,"	01164630376"
592,http://www.emi.it,"051 327552"
593,http://www.societadolce.it/,"051 6441211"
594,http://www.societadolce.it/,"051 6441212"
595,http://www.societadolce.it/,03772490375
596,http://www.aifo.it/,"051 4393211"
597,http://www.aifo.it/,"051 434046"
598,http://www.aifo.it/,800550303
599,http://www.sognamondo.it,02823941204
600,http://www.sognamondo.it,"	051-0826370"
601,http://www.sognamondo.it,347.3491548
602,http://www.sognamondo.it,051-3370083
603,http://www.ancoraservizi.it,"051 6370201"
604,http://www.ancoraservizi.it,"051 6336168"
605,http://www.anpasemiliaromagna.org/,"051 6347184"
606,http://www.anpasemiliaromagna.org/,"051 6350118"
613,http://www.casagianni.net/Casa_Gianni/ASAT.html,051453895
614,http://www.casagianni.net/Casa_Gianni/ASAT.html,051453100
615,http://cooperativaquintoangolo.jimdo.com/,02891481208
616,http://ilbaobab.com/,051.401337
617,http://ilbaobab.com/,051401337
618,http://ilbaobab.com/,03555570377
619,http://www.globalaid.it,"051 5873822"
620,http://www.cimcoop.it/,051-402357
621,http://www.cimcoop.it/,051-6416920
622,http://www.cimcoop.it/,334.5209298
623,http://www.cimcoop.it/,334.1412852
624,http://www.cimcoop.it/,334.1413792
625,http://www.coopilpellicano.org,"051 344180"
626,http://teatrodellargine.org/,02522171202
627,http://www.ilmosaicocooperativa.com/,01935701209
628,http://www.consorziosic.it/,04226100370
629,http://www.coopabantu.it/,"051 840166"
630,http://www.ramazzini.org/,051.302252
631,http://www.ramazzini.org/,051.390417
632,http://www.ramazzini.org/,051.6640460
633,http://www.ramazzini.org/,051.6640223
634,http://www.ramazzini.org/,051-302252
635,http://www.ramazzini.org/,051-390417
636,http://www.ramazzini.org/,"051. 6640143"
637,http://www.ramazzini.org/,"051 302252"
638,http://www.ramazzini.org/,"051 390417"
639,http://www.altercoop.it/,"335 495605"
640,http://www.altercoop.it/,"335 5445558"
641,http://www.altercoop.it/,"328 8174307"
642,http://www.altercoop.it/,"051 532272"
643,http://www.altercoop.it/,"335 7551621"
644,http://www.altercoop.it/,"392 9806556"
645,http://www.altercoop.it/,"333 5853794"
646,http://www.altercoop.it/,"345 3013522"
647,http://www.altercoop.it/,"331 8545681"
648,http://www.altercoop.it/,"335 354991"
649,http://www.altercoop.it/,"335 5254330"
650,http://www.altercoop.it/,"348 4936260"
651,http://www.altercoop.it/,"347 3389711"
652,http://www.altercoop.it/,"335 6688343"
653,http://www.altercoop.it/,"335 415547"
654,http://www.altercoop.it/,"335 6200909"
655,http://www.altercoop.it/,"051 538750"
656,http://www.altercoop.it/,02469810374
657,http://www.alzheimerimola.it/,"0542 604253"
658,http://www.alzheimerimola.it/,"334 2730119"
659,http://www.scoiattolo.org/,"328 - 1006998"
660,http://www.alzheimerimola.it/,05900024917
661,http://www.scoiattolo.org/,"051 6770109"
662,http://www.scoiattolo.org/,"051 0314877"
663,http://www.scoiattolo.org/,"051 841277"
664,http://www.scoiattolo.org/,"051 0876134"
665,http://www.seacoop.coop,0542.643543
666,http://www.seacoop.coop,0542.644059
667,http://www.seacoop.coop,0542.644015
668,http://www.in-formazione.org/,03102551201
669,http://www.in-formazione.org/,051.1998867
670,http://www.in-formazione.org/,051.1998866
671,http://www.coopsollievo.it/,"051 4123145"
672,http://www.ancoraservizi.it/,"051 6370201"
673,http://www.ancoraservizi.it/,"051 6336168"
674,http://www.copaps.it/,3291726145
675,http://www.insiemeper.bo.it/,338.5872345
676,http://www.societaaperta.info/,"051 6441211"
677,http://www.societaaperta.info/,"051 6441212"
678,http://www.societaaperta.info/,"051 6661354"
679,http://www.societaaperta.info/,"051 817737"
680,http://www.inventatempo.it/,051822924
681,http://www.croceverdeer.com,"051 5879118"
682,http://www.croceverdeer.com,02138111204
683,http://www.arcoiriscoop.it/,02508331200
684,http://www.arcoiriscoop.it/,051-903429
685,http://www.arcoiriscoop.it/,051-903439
686,http://www.csapsa.it/1/,051230449
687,http://www.csapsa.it/1/,051231440
688,http://www.ass-coop.it,"051 231995"
689,http://www.ass-coop.it,"051 226838"
690,http://www.ass-coop.it,03557730375
691,http://www.solcoinsieme.coop/,02762781207
692,http://www.coopaxia.it/index.php,04211390374
693,http://www.daicrocicchi.coop/,02124041209
694,http://www.daicrocicchi.coop/,"051 6414627"
695,http://www.daicrocicchi.coop/,3409632246
696,http://www.teatrodelletemperie.com/site/,02678121209
697,http://www.ecotronic.it,051-6053674
698,http://www.ecotronic.it,051-6064838
699,http://www.ecotronic.it,02406491205
700,http://www.coopcroceazzurra.it/,"051 4187542"
701,http://www.coopcroceazzurra.it/,"051 4189182"
702,http://www.cooperativapictor.it/,01554711208
703,http://www.educarecrescere.it,03050331200
704,http://www.beataverginedellegrazie.it/,04036430371
705,http://www.teatrodelpratello.it,"051 0455830"
706,http://www.teatrodelpratello.it,"333 1739550"
707,http://www.cadiai.it/,"051 7419001"
708,http://www.cadiai.it/,"051 7457288"
709,http://www.iquattrocastelli.it,"0542 674357"
710,http://www.iquattrocastelli.it,"0542 675675"
711,http://www.iquattrocastelli.it,02358961205
712,http://www.cooperativasammartini.it/,03904280371
713,http://www.cooperativasammartini.it/,"051 987474"
714,http://www.faremondi.it/,02375741200
715,http://www.faremondi.it/,"051 6389164"
716,http://www.faremondi.it/,"051 4171750"
717,http://www.cadibalia.it,3425612927
718,http://www.cadibalia.it,3496115570
719,http://www.it2.it,0516257959
720,http://www.it2.it,051365616
721,http://www.fattoriabilita.it,03047390368
722,http://www.cafedelapaixbologna.it/,051-2750233
723,http://www.testoniragazzi.it,02118040373
724,http://www.italianaassistenza.it/,02428071209
725,http://www.italianaassistenza.it/,051347090
726,http://www.casabase.info/,0514171777
727,http://www.casabase.info/,051.4171777
728,http://www.casabase.info/,0542.066574
729,http://www.casabase.info/,0544.1935930
730,http://www.venenta.com,"051 663 7200"
731,http://www.lacittaverde.coop/,"(051) 975450"
732,http://www.lacittaverde.coop/,"(0532) 757544"
733,http://www.lacittaverde.coop/,"(051) 6827102"
734,http://www.lacittaverde.coop/,051.6827102
735,http://www.lacittaverde.coop/,04049110374
736,http://www.lacittaverde.coop/,"(051) 682-7102"
737,http://www.virtualcoop.net,"051 533106"
738,http://www.virtualcoop.net,"051 530761"
739,http://www.virtualcoop.net,04284720374
740,http://www.volabo.it/,"051 340328"
741,http://www.volabo.it/,"051 341169"
742,http://www.libertasassistenza.it/,"051 750362"
743,http://www.libertasassistenza.it/,"051 758602"
744,http://www.libertasassistenza.it/,"051 818106"
745,http://www.libertasassistenza.it/,04144000371
746,http://www.zerocento.coop/,0546.600111
747,http://www.zerocento.coop/,0546.600119
748,http://www.zerocento.coop/,0544.462735
749,http://www.zerocento.coop/,0544.509331
750,http://www.zerocento.coop/,0545.287750
751,http://www.zerocento.coop/,0545.902093
752,http://www.zerocento.coop/,01012750392
753,https://www.societadolce.it/,"051 6441211"
754,https://www.societadolce.it/,"051 6441212"
755,https://www.societadolce.it/,03772490375
756,http://www.opengroup.eu/,051242557
757,http://www.opengroup.eu/,051242955
758,http://www.opengroup.eu/,051841206
759,http://www.opengroup.eu/,0516750400
760,http://www.opengroup.eu/,02410141200
763,http://www.laltrocaffe.it,"340 4218500"
764,http://www.laltrocaffe.it,"0542 27494"
765,http://www.perluca.it/,388-8250540
766,http://www.perluca.it/,051-6494865
767,http://www.cooplastrada.it/siamo.html,"051 372223"
